59,59,103,21:26:38
89,71,53,21:26:38
67,114,83,21:26:38
117,94,76,21:26:38
90,80,91,21:26:38
65,113,111,21:26:38
116,102,109,21:26:38
111,88,77,21:26:38
74,50,79,21:26:38
100,105,117,21:26:38
118,80,82,21:26:38
99,94,98,21:26:38
112,116,97,21:26:38
98,75,109,21:26:38
59,97,64,21:26:38
112,100,83,21:26:38
50,81,117,21:26:38
89,113,74,21:26:38
99,96,84,21:26:38
111,75,54,21:26:38
89,88,73,21:26:38
54,89,110,21:26:38
72,81,74,21:26:38
113,118,67,21:26:38
100,57,55,21:26:38
60,53,79,21:26:38
67,67,73,21:26:38
108,75,68,21:26:38
116,110,107,21:26:38
83,119,70,21:26:38
77,65,53,21:26:38
85,115,62,21:26:38
62,64,94,21:26:38
107,86,81,21:26:38
84,100,101,21:26:39
65,108,116,21:26:39
67,98,86,21:26:39
77,91,82,21:26:39
85,51,118,21:26:39
82,118,95,21:26:39
91,50,94,21:26:39
76,111,64,21:26:39
64,82,113,21:26:39
63,67,59,21:26:39
86,88,81,21:26:39
100,104,118,21:26:39
53,117,111,21:26:39
52,87,58,21:26:39
107,92,111,21:26:39
81,94,100,21:26:39
112,53,63,21:26:39
104,92,101,21:26:39
99,116,54,21:26:39
71,114,90,21:26:39
116,114,79,21:26:39
51,84,59,21:26:39
83,81,99,21:26:39
113,117,101,21:26:39
68,114,55,21:26:39
89,59,70,21:26:39
69,82,89,21:26:39
103,50,108,21:26:39
55,51,73,21:26:39
84,100,88,21:26:39
109,73,89,21:26:39
79,59,103,21:26:39
74,95,88,21:26:39
115,51,81,21:26:39
96,98,59,21:26:39
108,76,62,21:26:39
50,73,115,21:26:39
83,73,87,21:26:39
86,84,116,21:26:39
92,90,87,21:26:39
61,113,83,21:26:39
70,92,74,21:26:39
102,113,102,21:26:39
61,76,89,21:26:39
105,87,75,21:26:39
108,57,82,21:26:39
109,61,111,21:26:39
90,60,97,21:26:39
85,60,61,21:26:39
84,69,92,21:26:39
61,99,116,21:26:39
62,94,55,21:26:39
75,73,53,21:26:39
82,55,118,21:26:39
116,53,99,21:26:39
114,102,66,21:26:39
73,118,80,21:26:39
96,103,79,21:26:39
107,116,109,21:26:39
119,59,113,21:26:39
62,85,58,21:26:39
115,109,65,21:26:39
57,75,89,21:26:39
114,68,97,21:26:39
60,52,118,21:26:39
78,77,119,21:26:39
86,108,63,21:26:39
99,85,100,21:26:39
64,105,72,21:26:39
75,94,114,21:26:39
93,62,89,21:26:39
101,75,81,21:26:39
118,89,115,21:26:39
99,61,63,21:26:39
72,55,51,21:26:39
94,84,99,21:26:39
67,66,90,21:26:39
77,53,63,21:26:39
55,98,73,21:26:40
92,65,60,21:26:40
70,78,108,21:26:40
92,93,82,21:26:40
111,118,98,21:26:40
110,52,116,21:26:40
57,78,74,21:26:40
105,56,63,21:26:40
86,80,56,21:26:40
85,73,73,21:26:40
55,65,57,21:26:40
73,100,65,21:26:40
117,112,84,21:26:40
75,111,64,21:26:40
58,72,52,21:26:40
65,92,106,21:26:40
101,108,114,21:26:40
69,89,103,21:26:40
81,50,116,21:26:40
55,52,83,21:26:40
53,96,86,21:26:40
84,91,114,21:26:40
96,101,106,21:26:40
68,86,87,21:26:40
54,56,82,21:26:40
50,55,86,21:26:40
62,69,93,21:26:40
114,89,62,21:26:40
97,116,83,21:26:40
54,52,99,21:26:40
74,107,91,21:26:40
114,73,101,21:26:40
85,87,114,21:26:40
119,107,68,21:26:40
99,76,117,21:26:40
67,119,116,21:26:40
61,69,58,21:26:40
100,98,72,21:26:40
95,78,55,21:26:40
76,57,59,21:26:40
81,109,83,21:26:40
103,80,71,21:26:40
85,92,77,21:26:40
76,86,95,21:26:40
100,68,90,21:26:40
106,119,111,21:26:40
117,74,76,21:26:40
101,116,99,21:26:40
109,77,94,21:26:40
111,81,83,21:26:40
78,91,110,21:26:40
88,93,76,21:26:40
99,53,84,21:26:40
65,109,78,21:26:40
71,93,101,21:26:40
75,97,86,21:26:40
94,53,97,21:26:40
71,52,85,21:26:40
96,76,87,21:26:40
72,55,98,21:26:40
94,101,72,21:26:40
117,67,115,21:26:40
54,53,92,21:26:40
116,56,62,21:26:40
56,55,58,21:26:40
79,72,78,21:26:40
60,101,58,21:26:40
103,85,110,21:26:40
83,52,88,21:26:40
87,114,61,21:26:40
88,65,60,21:26:40
77,114,76,21:26:40
68,94,69,21:26:40
85,101,82,21:26:40
119,106,81,21:26:40
105,84,82,21:26:40
94,114,89,21:26:40
67,63,88,21:26:40
103,80,50,21:26:40
74,58,82,21:26:40
59,117,59,21:26:40
100,89,92,21:26:40
118,114,62,21:26:40
62,92,96,21:26:40
80,99,58,21:26:40
50,117,113,21:26:40
119,86,96,21:26:40
74,94,116,21:26:40
65,75,56,21:26:40
99,109,77,21:26:40
111,100,56,21:26:41
62,89,89,21:26:41
74,102,64,21:26:41
60,71,101,21:26:41
115,109,67,21:26:41
78,109,100,21:26:41
68,59,88,21:26:41
97,103,104,21:26:41
62,99,95,21:26:41
88,60,110,21:26:41
101,67,91,21:26:41
104,80,72,21:26:41
99,90,52,21:26:41
89,57,97,21:26:41
76,75,65,21:26:41
86,95,50,21:26:41
56,99,75,21:26:41
82,93,101,21:26:41
60,62,105,21:26:41
95,113,88,21:26:41
114,70,58,21:26:41
109,79,110,21:26:41
65,83,68,21:26:41
53,108,117,21:26:41
80,76,89,21:26:41
53,67,69,21:26:41
72,98,54,21:26:41
53,60,70,21:26:41
74,93,58,21:26:41
81,118,69,21:26:41
97,83,76,21:26:41
105,76,87,21:26:41
55,70,115,21:26:41
79,73,114,21:26:41
64,84,80,21:26:41
74,86,80,21:26:41
61,50,54,21:26:41
75,114,115,21:26:41
103,68,105,21:26:41
94,51,110,21:26:41
70,58,83,21:26:41
105,52,58,21:26:41
81,102,94,21:26:41
54,58,94,21:26:41
51,85,117,21:26:41
66,75,77,21:26:41
69,101,77,21:26:41
75,67,101,21:26:41
55,59,108,21:26:41
68,96,75,21:26:41
96,115,118,21:26:41
85,51,92,21:26:41
79,111,111,21:26:41
94,65,113,21:26:41
73,79,79,21:26:41
68,102,109,21:26:41
87,74,105,21:26:41
90,51,106,21:26:41
86,59,87,21:26:41
69,90,82,21:26:41
84,116,58,21:26:41
58,54,64,21:26:41
109,100,99,21:26:41
106,93,81,21:26:41
83,56,69,21:26:41
83,101,95,21:26:41
104,63,74,21:26:41
56,117,96,21:26:41
114,106,88,21:26:41
87,59,63,21:26:41
75,82,91,21:26:41
57,57,109,21:26:41
70,68,70,21:26:41
104,78,67,21:26:41
77,94,97,21:26:41
78,108,101,21:26:41
69,117,119,21:26:41
52,90,90,21:26:41
84,115,81,21:26:41
80,76,73,21:26:41
81,98,66,21:26:41
92,58,118,21:26:41
111,110,56,21:26:41
83,61,101,21:26:41
93,100,65,21:26:41
83,119,99,21:26:41
84,60,72,21:26:41
93,73,63,21:26:41
69,83,70,21:26:41
75,105,55,21:26:41
113,84,112,21:26:41
103,79,107,21:26:42
101,56,56,21:26:42
69,111,109,21:26:42
80,62,85,21:26:42
77,96,115,21:26:42
109,77,99,21:26:42
81,97,117,21:26:42
99,111,84,21:26:42
102,53,67,21:26:42
114,63,104,21:26:42
99,104,95,21:26:42
83,90,68,21:26:42
79,50,113,21:26:42
70,64,84,21:26:42
83,63,85,21:26:42
97,112,61,21:26:42
93,80,99,21:26:42
79,74,84,21:26:42
79,62,89,21:26:42
106,91,94,21:26:42
53,61,90,21:26:42
106,53,52,21:26:42
88,67,69,21:26:42
51,76,114,21:26:42
86,104,76,21:26:42
95,95,60,21:26:42
68,82,53,21:26:42
98,104,102,21:26:42
65,108,95,21:26:42
92,56,61,21:26:42
114,53,104,21:26:42
55,62,66,21:26:42
119,114,110,21:26:42
61,50,80,21:26:42
50,70,111,21:26:42
105,102,89,21:26:42
64,108,113,21:26:42
111,112,113,21:26:42
72,52,79,21:26:42
60,54,111,21:26:42
99,77,53,21:26:42
95,118,111,21:26:42
119,103,102,21:26:42
52,74,87,21:26:42
103,118,63,21:26:42
105,93,89,21:26:42
58,94,97,21:26:42
113,98,72,21:26:42
70,71,114,21:26:42
87,83,63,21:26:42
88,98,92,21:26:42
77,101,60,21:26:42
92,105,59,21:26:42
70,79,72,21:26:42
56,85,75,21:26:42
59,98,74,21:26:42
89,106,114,21:26:42
70,54,109,21:26:42
100,59,60,21:26:42
79,114,95,21:26:42
105,110,118,21:26:42
107,68,76,21:26:42
108,115,67,21:26:42
90,90,114,21:26:42
71,56,88,21:26:42
109,100,61,21:26:42
88,53,78,21:26:42
112,101,80,21:26:42
53,108,114,21:26:42
75,104,51,21:26:42
106,74,72,21:26:42
56,85,85,21:26:42
72,113,106,21:26:42
72,82,109,21:26:42
90,83,118,21:26:42
53,54,53,21:26:42
88,110,98,21:26:42
107,50,70,21:26:42
103,94,99,21:26:42
106,55,114,21:26:42
61,67,51,21:26:42
64,74,80,21:26:42
91,85,107,21:26:42
57,74,78,21:26:42
109,79,86,21:26:42
68,93,106,21:26:42
101,101,99,21:26:43
86,71,67,21:26:43
70,115,100,21:26:43
105,84,67,21:26:43
96,95,115,21:26:43
77,60,59,21:26:43
62,109,55,21:26:43
67,96,92,21:26:43
80,99,58,21:26:43
54,100,71,21:26:43
99,51,94,21:26:43
99,111,115,21:26:43
115,103,107,21:26:43
112,110,65,21:26:43
96,99,119,21:26:43
92,101,67,21:26:43
98,77,98,21:26:43
103,72,78,21:26:43
104,74,111,21:26:43
78,72,85,21:26:43
109,56,61,21:26:43
113,79,67,21:26:43
63,52,99,21:26:43
111,69,53,21:26:43
77,74,75,21:26:43
58,93,112,21:26:43
90,65,118,21:26:43
94,78,81,21:26:43
103,70,95,21:26:43
71,98,116,21:26:43
64,102,116,21:26:43
53,66,72,21:26:43
70,75,111,21:26:43
63,76,72,21:26:43
74,88,85,21:26:43
61,50,58,21:26:43
110,56,53,21:26:43
82,60,106,21:26:43
89,59,69,21:26:43
109,92,102,21:26:43
96,69,84,21:26:43
105,83,71,21:26:43
66,90,62,21:26:43
56,63,102,21:26:43
105,70,76,21:26:43
95,115,80,21:26:43
95,99,82,21:26:43
83,56,97,21:26:43
104,51,91,21:26:43
54,54,50,21:26:43
117,99,74,21:26:43
54,111,97,21:26:43
51,111,74,21:26:43
68,76,113,21:26:43
119,58,56,21:26:43
96,95,50,21:26:43
111,94,108,21:26:43
70,82,116,21:26:43
89,58,51,21:26:43
96,70,95,21:26:43
57,94,82,21:26:43
85,110,84,21:26:43
106,100,84,21:26:43
61,66,114,21:26:43
84,73,96,21:26:43
66,108,97,21:26:43
